name,latitude,longitude,address,star_rating,detail_url
"Albatros Hotel in Moraitika, Corfu",39.48337174304366,19.92955058813095,"Corfu, Moraitika",3,https://www.greeka.com/ionian/corfu/hotels/location-moraitika/albatros/
"Saint Nicholas Hotel in Gouvia, Corfu",39.65699180820766,19.835500940680504,"Corfu, Gouvia",3,https://www.greeka.com/ionian/corfu/hotels/location-gouvia/saint-nicholas/
"Messonghi Beach Hotel in Messonghi, Corfu",39.48108315073304,19.93152067065239,"Corfu, Messonghi",3,https://www.greeka.com/ionian/corfu/hotels/location-messonghi/messonghi-beach/
"Archontiko Petrettini Boutique Hotel in Agios Ioannis Afra, Corfu",39.616192,19.848242,"Corfu, Agios Ioannis Afra",3,https://www.greeka.com/ionian/corfu/hotels/location-agios-ioannis-afra/archontiko-petrettini/
"Bella Vista Hotel in Benitses, Corfu",39.54177613846055,19.91374634206295,"Corfu, Benitses",4,https://www.greeka.com/ionian/corfu/hotels/location-benitses/bella-vista/
"Alexandros & Gerekos Apartments in Kontokali, Corfu",39.65101664516137,19.85777735710144,"Corfu, Kontokali",,https://www.greeka.com/ionian/corfu/hotels/location-kontokali/alexandros-and-gerekos/
"Angelina Hotel in Sidari, Corfu",39.79438347501337,19.699543118476868,"Corfu, Sidari",3,https://www.greeka.com/ionian/corfu/hotels/location-sidari/angelina/
"Cavalieri Hotel in Town, Corfu",39.62115426170691,19.923641346395016,"Corfu, Town",4,https://www.greeka.com/ionian/corfu/hotels/location-town/cavalieri/
"Barbati Beach Apartments in Barbati, Corfu",39.716877707880755,19.867757856845856,"Corfu, Barbati",,https://www.greeka.com/ionian/corfu/hotels/location-barbati/barbati/
"Bella Venezia Hotel in Town, Corfu",39.6211134572828,19.922309294342995,"Corfu, Town",3,https://www.greeka.com/ionian/corfu/hotels/location-town/bella-venezia/
"Aquarius Hotel in Moraitika, Corfu",39.47502645378512,19.934410750865936,"Corfu, Moraitika",3,https://www.greeka.com/ionian/corfu/hotels/location-moraitika/aquarius/
"Corfu Mare Hotel in Town, Corfu",39.62818,19.89704,"Corfu, Town",3,https://www.greeka.com/ionian/corfu/hotels/location-town/corfu-mare/
"Apraos Bay Hotel in Kasiopi, Corfu",39.79677156426121,19.890435934066772,"Corfu, Kasiopi",3,https://www.greeka.com/ionian/corfu/hotels/location-kasiopi/apraos-bay/
